"","ASV","Feature.ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Consensus"
"3549","ASV4296","bd21b9275af3663b63a7bcc5e8657200","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,1
"3550","ASV3542","bd3779b967b0e0bafaba3ee25a96a43e","d__Eukaryota"," p__Ascomycota",NA,NA,NA,NA,NA,1
"3551","ASV898","bd562e466690e0c22848e8f513fb99da","d__Eukaryota"," p__Ascomycota",NA,NA,NA,NA,NA,1
"3552","ASV570","bd7523de95fc4f3c15eabc318a0d3640","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes",NA,NA,NA,NA,0.8
"3553","ASV1658","bd767197b4eeed55e4523f2ad51106f3","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Cantharellales"," f__Tulasnellaceae"," g__Tulasnella"," s__uncultured_Tulasnella",1
"3554","ASV4421","bdb60983ffbeec81168fc0edb6692c99","d__Eukaryota"," p__Cryptomycota"," c__LKM11"," o__LKM11"," f__LKM11"," g__LKM11"," s__uncultured_eukaryote",0.6
"3555","ASV2988","bdbb0ac563d529b189cb50d802fc4632","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales",NA,NA,NA,1
"3556","ASV1982","bdbec9e127626d8a1ddc70d0e3bb6227","d__Eukaryota"," p__Ascomycota",NA,NA,NA,NA,NA,1
"3557","ASV4159","bdcf85f509b420da6a7f39db3b5bb268","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Capnodiales",NA,NA,NA,0.8
"3558","ASV2062","bdd456e99b3bd0990899a24bd3ae2819","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Auriculariales"," f__Auriculariaceae"," g__Auricularia"," s__Auricularia_polytricha",0.6
"3559","ASV4153","bdd6c25bfb23cbf1193850f36d8bf20a","d__Eukaryota"," p__Chytridiomycota"," c__Chytridiomycetes"," o__Spizellomycetales"," f__Powellomycetaceae",NA,NA,0.6
"3560","ASV3402","bdde4064c709a6cf169fa209f673de78","d__Eukaryota"," p__Ascomycota"," c__Leotiomycetes"," o__Helotiales",NA,NA,NA,0.6
"3561","ASV953","bdecaf317518dc244e902e1d910d918b","d__Eukaryota"," p__Basidiomycota"," c__Exobasidiomycetes",NA,NA,NA,NA,0.8
"3562","ASV1526","bdee51429c48729ebe2fd10bd22f3df6","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Glomerellales"," f__Glomerellaceae"," g__Colletotrichum",NA,0.6
